,open_AAPL,high_AAPL,low_AAPL,close_AAPL,signal_AAPL,open_AMZN,high_AMZN,low_AMZN,close_AMZN,signal_AMZN,open_BABA,high_BABA,low_BABA,close_BABA,signal_BABA,open_BAC,high_BAC,low_BAC,close_BAC,signal_BAC,open_GOOGL,high_GOOGL,low_GOOGL,close_GOOGL,signal_GOOGL,open_INTC,high_INTC,low_INTC,close_INTC,signal_INTC,open_JPM,high_JPM,low_JPM,close_JPM,signal_JPM,open_META,high_META,low_META,close_META,signal_META,open_MSFT,high_MSFT,low_MSFT,close_MSFT,signal_MSFT,open_NFLX,high_NFLX,low_NFLX,close_NFLX,signal_NFLX,open_NVDA,high_NVDA,low_NVDA,close_NVDA,signal_NVDA,open_ORCL,high_ORCL,low_ORCL,close_ORCL,signal_ORCL,open_PFE,high_PFE,low_PFE,close_PFE,signal_PFE,open_T,high_T,low_T,close_T,signal_T,open_TSLA,high_TSLA,low_TSLA,close_TSLA,signal_TSLA,open_V,high_V,low_V,close_V,signal_V,open_WFC,high_WFC,low_WFC,close_WFC,signal_WFC,open_WMT,high_WMT,low_WMT,close_WMT,signal_WMT,open_XAU,high_XAU,low_XAU,close_XAU,signal_XAU,open_US500,high_US500,low_US500,close_US500,signal_US500,open_BTCUSD,high_BTCUSD,low_BTCUSD,close_BTCUSD,signal_BTCUSD,open_AUDJPY,high_AUDJPY,low_AUDJPY,close_AUDJPY,signal_AUDJPY,open_EURUSD,high_EURUSD,low_EURUSD,close_EURUSD,signal_EURUSD,open_GBPUSD,high_GBPUSD,low_GBPUSD,close_GBPUSD,signal_GBPUSD,open_USDCAD,high_USDCAD,low_USDCAD,close_USDCAD,signal_USDCAD,open_USDCHF,high_USDCHF,low_USDCHF,close_USDCHF,signal_USDCHF,open_USDJPY,high_USDJPY,low_USDJPY,close_USDJPY,signal_USDJPY
2023-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33897.66,34494.53,33868.52,34075.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.023,2004.845,1996.937,2002.725,0.0,4134.79,4138.27,4128.58,4134.12,0.0,34075.7,34747.28,33931.59,34519.37,0.0,94.744,94.922,94.717,94.908,0.0,1.0567,1.05687,1.05584,1.05622,0.0,1.21172,1.21245,1.21105,1.2113,0.0,1.38595,1.38731,1.38566,1.38641,0.0,0.90104,0.90266,0.90065,0.90244,0.0,149.49,149.769,149.476,149.738,0.0
2023-10-30,169.13,171.14,168.3,170.18,0.0,128.96,132.97,128.77,132.78,0.0,84.01,84.17,82.96,83.17,0.0,25.23,25.67,25.17,25.59,0.0,123.78,125.37,123.36,124.62,0.0,35.75,35.89,34.86,35.8,0.0,136.6,138.01,136.04,137.38,0.0,299.04,309.25,297.88,302.98,0.0,332.59,338.83,331.22,336.97,0.0,400.75,412.58,398.72,410.45,0.0,41.08,41.75,40.48,41.26,0.0,101.48,102.37,101.06,102.09,0.0,30.02,30.36,29.81,30.26,0.0,15.19,15.34,15.09,15.24,0.0,209.98,210.81,194.64,197.35,0.0,230.02,232.88,229.74,232.72,0.0,38.82,39.32,38.45,39.27,0.0,53.51,54.31,53.47,54.28,0.0,2002.753,2006.8,1991.045,1995.561,0.0,4134.37,4182.28,4133.62,4167.77,0.0,34518.92,34841.61,34080.32,34466.5,0.0,94.911,95.524,94.862,94.945,0.0,1.05621,1.06251,1.05472,1.0614,0.0,1.21131,1.21746,1.20902,1.21637,0.0,1.38639,1.38666,1.38133,1.38302,0.0,0.90245,0.90487,0.90078,0.90208,0.0,149.738,149.854,148.806,149.099,0.0
2023-10-31,169.72,170.74,167.88,170.58,0.0,132.33,133.54,131.69,132.9,0.0,81.87,82.41,80.83,82.35,0.0,25.66,26.26,25.52,26.21,0.0,124.3,124.9,122.64,124.02,0.0,35.64,36.41,35.48,36.4,0.0,138.34,139.22,137.7,138.92,0.0,302.22,304.57,296.82,300.37,0.0,337.41,339.05,334.08,337.28,0.0,411.17,412.7,404.5,411.38,0.0,40.91,41.09,39.22,40.67,0.0,101.15,103.49,101.04,103.18,0.0,30.37,30.48,29.39,30.24,0.0,15.31,15.4,15.22,15.38,0.0,194.86,202.74,194.05,200.87,0.0,233.42,235.36,232.7,234.54,0.0,39.34,39.39,38.93,39.26,0.0,54.17,54.39,53.85,54.32,0.0,1995.578,2007.918,1978.874,1983.737,0.0,4167.76,4200.94,4152.7,4188.98,0.0,34466.54,34705.02,34071.39,34629.1,0.0,94.943,96.161,94.846,95.901,0.0,1.0614,1.0675,1.05578,1.05781,0.0,1.21638,1.22004,1.21195,1.21505,0.0,1.38301,1.38922,1.38138,1.3878,0.0,0.9021,0.91062,0.90096,0.91004,0.0,149.101,151.716,149.091,151.325,0.0
2023-11-01,170.01,174.09,169.48,173.84,0.0,132.75,137.07,132.51,136.79,0.0,81.26,82.28,81.15,82.16,0.0,26.17,26.5,26.04,26.25,0.0,124.87,126.45,124.55,126.25,0.0,36.17,37.2,36.15,37.18,0.0,139.29,140.5,138.44,139.32,0.0,300.5,312.44,298.9,312.27,0.0,335.69,346.78,335.69,346.19,0.0,410.01,420.28,408.83,418.83,0.0,40.48,42.31,40.4,42.24,0.0,104.15,106.17,103.76,106.12,0.0,30.21,30.73,30.16,30.25,0.0,15.49,15.66,15.45,15.58,0.0,202.49,205.11,197.81,204.91,0.0,236.61,238.77,236.56,238.56,0.0,39.43,39.61,38.91,39.4,0.0,54.42,55.0,54.28,54.92,0.0,1983.739,1992.738,1969.899,1985.079,0.0,4188.83,4253.88,4178.04,4252.67,0.0,34628.92,35588.42,34082.73,35413.51,0.0,95.897,96.713,95.61,96.701,0.0,1.05781,1.05866,1.05168,1.05863,0.0,1.21505,1.21808,1.2096,1.21808,0.0,1.38783,1.3899,1.3835,1.3835,0.0,0.91005,0.91121,0.9056,0.9056,0.0,151.325,151.446,150.569,150.578,0.0
2023-11-02,175.5,177.69,175.22,177.28,0.0,137.74,138.88,136.46,137.83,0.0,82.83,83.92,82.79,83.48,0.0,26.45,27.48,26.45,27.45,0.0,128.33,128.35,126.9,127.56,0.0,37.32,37.72,36.8,37.61,0.0,139.91,141.45,139.21,141.19,0.0,314.28,318.61,308.29,310.16,0.0,347.88,348.94,344.14,347.44,0.0,422.93,426.43,416.82,424.36,0.0,43.16,43.87,42.89,43.58,0.0,106.38,107.18,105.51,106.84,0.0,30.45,30.45,29.89,30.14,0.0,15.61,15.74,15.53,15.66,0.0,210.51,219.14,210.33,217.61,0.0,239.61,242.34,239.27,242.24,0.0,39.59,40.45,39.36,40.44,0.0,54.73,55.27,54.41,55.16,0.0,1985.058,1990.994,1978.86,1985.033,0.0,4252.69,4326.23,4249.23,4315.67,0.0,35413.71,35930.79,34300.71,34919.67,0.0,96.705,96.929,96.508,96.738,0.0,1.05865,1.06677,1.05837,1.06158,0.0,1.21811,1.22253,1.21554,1.21897,0.0,1.38349,1.38517,1.3735,1.37474,0.0,0.90557,0.90678,0.90178,0.90616,0.0,150.578,150.595,149.848,150.5,0.0
2023-11-03,172.06,176.46,171.86,176.14,0.0,138.07,139.47,137.44,138.44,0.0,84.57,86.02,84.19,85.43,0.0,27.46,28.81,27.44,28.37,0.0,127.88,129.49,127.85,129.06,0.0,37.68,38.16,37.45,37.96,0.0,143.42,143.72,142.18,142.95,0.0,310.84,315.45,310.6,314.33,0.0,348.82,353.73,346.68,352.89,0.0,426.08,434.6,424.61,433.43,0.0,43.27,45.3,43.21,45.13,0.0,107.36,109.04,107.3,108.22,0.0,30.26,31.03,30.22,31.0,0.0,15.97,16.0,15.8,15.82,0.0,216.34,226.31,216.15,218.95,0.0,243.84,244.51,241.85,243.59,0.0,41.77,41.82,41.37,41.64,0.0,55.1,55.25,54.84,54.85,0.0,1985.025,2004.072,1983.29,1992.586,0.0,4315.67,4379.57,4314.26,4363.2,0.0,34920.0,34925.63,34119.16,34725.13,0.0,96.739,97.321,96.581,97.291,0.0,1.0616,1.07468,1.06149,1.07306,0.0,1.21897,1.23895,1.21846,1.2381,0.0,1.37476,1.37604,1.36534,1.36559,0.0,0.90617,0.90738,0.89656,0.89915,0.0,150.498,150.5,149.196,149.352,0.0
2023-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34725.15,35272.54,34596.67,35071.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991.487,1991.647,1987.214,1988.539,0.0,4372.0,4373.14,4365.23,4366.99,0.0,35071.37,35385.51,34461.08,35024.63,0.0,97.165,97.395,97.149,97.376,0.0,1.07255,1.07327,1.07226,1.07302,0.0,1.23746,1.23767,1.23548,1.23714,0.0,1.36605,1.36638,1.36567,1.36605,0.0,0.89677,0.89922,0.89677,0.89877,0.0,149.337,149.478,149.292,149.451,0.0
2023-11-06,176.2,179.35,175.96,178.78,0.0,138.91,140.71,138.34,139.24,0.0,86.53,86.68,85.18,85.45,0.0,28.41,28.63,27.89,28.17,0.0,129.61,130.15,128.96,130.12,0.0,38.03,38.16,37.82,37.94,0.0,143.45,144.16,142.77,144.01,0.0,314.85,318.24,314.31,314.99,0.0,352.56,356.82,352.42,354.41,0.0,431.88,434.31,429.56,433.45,0.0,45.47,45.92,44.89,45.62,0.0,108.11,108.83,107.41,108.8,0.0,30.9,30.91,30.55,30.73,0.0,15.76,15.83,15.62,15.7,0.0,223.81,226.24,214.97,218.78,0.0,243.23,244.21,242.06,243.14,0.0,41.66,41.74,41.13,41.27,0.0,54.65,55.08,54.64,54.77,0.0,1988.542,1993.111,1975.806,1976.75,0.0,4366.99,4378.99,4354.28,4367.08,0.0,35024.46,35292.44,34752.81,35034.49,0.0,97.379,97.508,97.254,97.308,0.0,1.07302,1.07564,1.0715,1.07184,0.0,1.2372,1.2428,1.23287,1.23441,0.0,1.3661,1.37027,1.36294,1.36974,0.0,0.89917,0.89956,0.89539,0.8992,0.0,149.457,150.077,149.376,149.971,0.0
2023-11-07,178.47,182.31,178.08,181.92,0.0,139.22,143.34,138.98,142.96,0.0,84.84,85.6,84.06,85.43,0.0,28.08,28.11,27.81,28.06,0.0,130.24,131.87,130.21,131.46,0.0,38.13,38.86,37.96,38.8,0.0,143.17,144.24,143.06,143.99,0.0,314.83,320.91,314.5,319.12,0.0,356.54,361.74,355.83,361.06,0.0,433.64,437.36,430.69,436.27,0.0,45.43,46.2,45.15,46.09,0.0,109.67,110.27,108.55,108.96,0.0,30.5,30.96,30.47,30.83,0.0,15.76,15.92,15.76,15.81,0.0,217.42,222.89,215.69,222.36,0.0,243.02,244.48,242.88,243.99,0.0,41.0,41.15,40.71,41.07,0.0,55.0,55.4,54.99,55.26,0.0,1976.722,1977.07,1956.723,1968.971,0.0,4367.07,4393.66,4356.74,4386.09,0.0,35032.74,35889.53,34519.75,35397.31,0.0,97.322,97.592,96.411,96.695,0.0,1.07186,1.07196,1.06641,1.06953,0.0,1.23441,1.23469,1.22628,1.22913,0.0,1.36979,1.37825,1.36942,1.37682,0.0,0.89921,0.90183,0.89866,0.90001,0.0,149.988,150.694,149.962,150.397,0.0
